time.interval,hash.tag,count
2015-04-23 18:43:41,dengue,10
2015-04-23 18:43:41,ondox,0
2015-04-23 18:43:41,brazil,3
2015-04-23 18:43:41,ebola,0
2015-04-23 18:43:41,health,1
2015-04-23 18:43:41,mosquito,0
2015-04-23 18:43:41,pakistan,0
2015-04-23 18:43:41,saopaulo,0
2015-04-23 18:43:41,news,0
2015-04-23 18:43:41,karachi,0
2015-04-23 18:43:41,chikungunya,0
2015-04-23 18:43:41,pmln,0
2015-04-23 18:43:41,malaysia,0
2015-04-23 18:43:41,ptihas,0
2015-04-23 18:43:41,changepenang,0
2015-04-23 18:43:41,justice4saiful,0
2015-04-23 18:43:41,india,0
2015-04-23 18:43:41,malaria,1
2015-04-23 18:43:41,peru,0
2015-04-23 18:43:41,pharma,0
2015-04-23 18:43:06,dengue,10
2015-04-23 18:43:06,ondox,0
2015-04-23 18:43:06,brazil,3
2015-04-23 18:43:06,ebola,0
2015-04-23 18:43:06,health,1
2015-04-23 18:43:06,mosquito,0
2015-04-23 18:43:06,pakistan,0
2015-04-23 18:43:06,saopaulo,0
2015-04-23 18:43:06,news,0
2015-04-23 18:43:06,karachi,0
2015-04-23 18:43:06,chikungunya,0
2015-04-23 18:43:06,pmln,0
2015-04-23 18:43:06,malaysia,0
2015-04-23 18:43:06,ptihas,0
2015-04-23 18:43:06,changepenang,0
2015-04-23 18:43:06,justice4saiful,0
2015-04-23 18:43:06,india,0
2015-04-23 18:43:06,malaria,1
2015-04-23 18:43:06,peru,0
2015-04-23 18:43:06,pharma,0
2015-04-23 18:42:39,dengue,10
2015-04-23 18:42:39,ondox,0
2015-04-23 18:42:39,brazil,3
2015-04-23 18:42:39,ebola,0
2015-04-23 18:42:39,health,1
2015-04-23 18:42:39,mosquito,0
2015-04-23 18:42:39,pakistan,1
2015-04-23 18:42:39,saopaulo,0
2015-04-23 18:42:39,news,0
2015-04-23 18:42:39,karachi,0
2015-04-23 18:42:39,chikungunya,0
2015-04-23 18:42:39,pmln,0
2015-04-23 18:42:39,malaysia,0
2015-04-23 18:42:39,ptihas,0
2015-04-23 18:42:39,changepenang,0
2015-04-23 18:42:39,justice4saiful,0
2015-04-23 18:42:39,india,0
2015-04-23 18:42:39,malaria,1
2015-04-23 18:42:39,peru,0
2015-04-23 18:42:39,pharma,0
2015-04-23 18:41:41,dengue,11
2015-04-23 18:41:41,ondox,0
2015-04-23 18:41:41,brazil,4
2015-04-23 18:41:41,ebola,0
2015-04-23 18:41:41,health,1
